name,description,category,status,failure_reason,year,source
GoTable,Nightlife|Restaurants|Reviews and Recommendations,Nightlife|Restaurants|Reviews and Recommendations,failed,,,crunchbase
GotaCopy,Enterprise Software,Enterprise Software,failed,,,crunchbase
GotMarketing,Business Services|Email Marketing|SaaS,Business Services|Email Marketing|SaaS,failed,,,crunchbase
GOWEX,Enterprise Software|Telecommunications|Wireless,Enterprise Software|Telecommunications|Wireless,failed,,,crunchbase
GoYoDeo,Document Management|File Sharing|Games|Photography|Publishing|Video,Document Management|File Sharing|Games|Photography|Publishing|Video,failed,,2007-08-07,crunchbase
GradFly,Crowdsourcing|EdTech|Hardware + Software,Crowdsourcing|EdTech|Hardware + Software,failed,,2013-02-01,crunchbase
Grand St.,Hardware + Software,Hardware + Software,failed,,2012-01-01,crunchbase
GrantAdler,Health Care,Health Care,failed,,,crunchbase
Green Desalination,Environmental Innovation|Services|Water,Environmental Innovation|Services|Water,failed,,,crunchbase
Green Plate,Specialty Foods,Specialty Foods,failed,,2015-05-29,crunchbase
Green Sea Guard,Computers|Intelligent Systems|Tracking,Computers|Intelligent Systems|Tracking,failed,,,crunchbase
GreenFuel,Clean Technology,Clean Technology,failed,,,crunchbase
GreenGoose!,Hardware + Software|Health and Wellness|Lifestyle|Sensors,Hardware + Software|Health and Wellness|Lifestyle|Sensors,failed,,2010-01-01,crunchbase
Greengro Technologies,Clean Technology,Clean Technology,failed,,1996-01-01,crunchbase
GreenKub,Innovation Management|Manufacturing|Portals|Rental Housing,Innovation Management|Manufacturing|Portals|Rental Housing,failed,,2013-12-05,crunchbase
GreenLight,Networking|Social Media|Social Search,Networking|Social Media|Social Search,failed,,2011-07-20,crunchbase
GreenOffOn,Environmental Innovation|Green Building|Sustainability,Environmental Innovation|Green Building|Sustainability,failed,,2012-09-18,crunchbase
GreenVolts,Clean Technology,Clean Technology,failed,,2005-01-01,crunchbase
Grey Area,Games|Mobile Games,Games|Mobile Games,failed,,2009-01-01,crunchbase
Gridcentric,Software|Virtualization,Software|Virtualization,failed,,2009-06-01,crunchbase
Gridline Communications,Web Hosting,Web Hosting,failed,,,crunchbase
GridNetworks,Content Delivery|Games|Peer-to-Peer|Video Streaming,Content Delivery|Games|Peer-to-Peer|Video Streaming,failed,,2004-01-01,crunchbase
Grip,Professional Networking|Social Media,Professional Networking|Social Media,failed,,2014-10-01,crunchbase
Grocio,Comparison Shopping|Coupons|Curated Web|Groceries,Comparison Shopping|Coupons|Curated Web|Groceries,failed,,2007-06-01,crunchbase
Grooveshark,File Sharing|Monetization|Music,File Sharing|Monetization|Music,failed,,2006-03-01,crunchbase
Groovideo,Curated Web,Curated Web,failed,,2011-01-01,crunchbase
Ground Zero Group Corporation,Consulting|Web Design|Web Development|Web Hosting,Consulting|Web Design|Web Development|Web Hosting,failed,,2009-05-25,crunchbase
Group Commerce,Coupons|E-Commerce|Group Buying,Coupons|E-Commerce|Group Buying,failed,,2010-03-01,crunchbase
Grouply,Social Network Media|Software,Social Network Media|Software,failed,,2006-03-01,crunchbase
GroupStream,Collaboration|Media|Shared Services,Collaboration|Media|Shared Services,failed,,2011-01-01,crunchbase
GroupSwim,Collaboration|Enterprise 2.0|Enterprises|Forums|SaaS|Social Network Media|Software,Collaboration|Enterprise 2.0|Enterprises|Forums|SaaS|Social Network Media|Software,failed,,2005-10-01,crunchbase
GrowingIO,Big Data Analytics|Business Services,Big Data Analytics|Business Services,failed,,2015-05-01,crunchbase
Grows Up,Babies|E-Commerce|Kids|Marketplaces,Babies|E-Commerce|Kids|Marketplaces,failed,,2010-01-01,crunchbase
Groxis,Enterprise Software,Enterprise Software,failed,,2001-01-01,crunchbase
Gruburg,Hospitality|Reviews and Recommendations|Startups,Hospitality|Reviews and Recommendations|Startups,failed,,2010-08-01,crunchbase
Grupo42,Artificial Intelligence|Design|Interest Graph|Services|Software|Technology|Web Development|Web Tools,Artificial Intelligence|Design|Interest Graph|Services|Software|Technology|Web Development|Web Tools,failed,,2007-09-01,crunchbase
Gruvie,Social Media|Social Network Media,Social Media|Social Network Media,failed,,2007-01-01,crunchbase
GSI - GLOBAL SOCIAL INTELLIGENCE,Apps|Data Integration|Technology,Apps|Data Integration|Technology,failed,,2014-10-01,crunchbase
Gspoon,Apps|Kids|Publishing,Apps|Kids|Publishing,failed,,,crunchbase
GT Solar,Clean Technology|Solar,Clean Technology|Solar,failed,,1994-01-01,crunchbase
Gtronix,Semiconductors|Technology,Semiconductors|Technology,failed,,2003-01-01,crunchbase
Guangzhou Broad Vision Telecom,Web Hosting,Web Hosting,failed,,,crunchbase
GuardedNet,Enterprise Software|Logistics|Security,Enterprise Software|Logistics|Security,failed,,1999-01-01,crunchbase
Gucash,Banking|Content|E-Commerce|Music|Payments|Social Games|Virtual Goods,Banking|Content|E-Commerce|Music|Payments|Social Games|Virtual Goods,failed,,2010-01-03,crunchbase
Guerillapps,Games|Green|Mobile Games|Social Games|Sustainability,Games|Green|Mobile Games|Social Games|Sustainability,failed,,2008-05-01,crunchbase
Guguchu,DIY|Music|P2P Money Transfer,DIY|Music|P2P Money Transfer,failed,,2009-12-01,crunchbase
GuideCity,Apps|Travel|Travel & Tourism,Apps|Travel|Travel & Tourism,failed,,,crunchbase
Gullivearth,Curated Web|Social Network Media|Universities,Curated Web|Social Network Media|Universities,failed,,2009-10-28,crunchbase
gulu.com,Chat|Curated Web|Mobile|Social Network Media,Chat|Curated Web|Mobile|Social Network Media,failed,,2011-05-17,crunchbase
Gurnard Perch Sophisticated Technologies,Curated Web,Curated Web,failed,,2011-01-01,crunchbase
Gutenberg Technology,Advertising|Cloud Computing|Collaboration|Databases|Digital Media|iPad|Publishing|Services|Software|Textbooks|Web Development,Advertising|Cloud Computing|Collaboration|Databases|Digital Media|iPad|Publishing|Services|Software|Textbooks|Web Development,failed,,2010-01-01,crunchbase
GWS Photonics,Internet|Networking|Services,Internet|Networking|Services,failed,,,crunchbase
Gyst,Internet|Local|Local Search|Mobile|Search,Internet|Local|Local Search|Mobile|Search,failed,,2010-06-01,crunchbase
H2i Technologies,Hardware + Software,Hardware + Software,failed,,,crunchbase
H2O Degree,Energy|Utilities|Water,Energy|Utilities|Water,failed,,,crunchbase
Habiteo,Real Estate,Real Estate,failed,,,crunchbase
Hairmod,Apps|Beauty|Lifestyle,Apps|Beauty|Lifestyle,failed,,2015-05-05,crunchbase
Hallway Social Learning Network,Social Media,Social Media,failed,,,crunchbase
HAM-IT,Advertising|Enterprise Software,Advertising|Enterprise Software,failed,,2008-01-07,crunchbase
Hammerhead Systems,Web Hosting,Web Hosting,failed,,2002-01-01,crunchbase
HammerKit,Curated Web|Services|Web Presence Management,Curated Web|Services|Web Presence Management,failed,,2006-11-30,crunchbase
Hana Biosciences,Biotechnology,Biotechnology,failed,,,crunchbase
Handmade Mobile,Social Media,Social Media,failed,,2014-01-01,crunchbase
HandSignal,Enterprises|Service Providers|Wireless,Enterprises|Service Providers|Wireless,failed,,,crunchbase
handsomexcutive,E-Commerce|Fashion|iPhone,E-Commerce|Fashion|iPhone,failed,,2011-01-01,crunchbase
Happyshop,App Marketing|Apps|Coupons|Discounts|E-Commerce|Location Based Services|Mobile|Mobile Commerce|Online Reservations|QR Codes|Retail|Sales and Marketing|Shopping,App Marketing|Apps|Coupons|Discounts|E-Commerce|Location Based Services|Mobile|Mobile Commerce|Online Reservations|QR Codes|Retail|Sales and Marketing|Shopping,failed,,2010-11-01,crunchbase
"Happytables, Ltd.",Developer APIs|Restaurants|Technology,Developer APIs|Restaurants|Technology,failed,,2012-01-01,crunchbase
Harbin Pharmaceutical,Biotechnology|Business Services|Pharmaceuticals,Biotechnology|Business Services|Pharmaceuticals,failed,,,crunchbase
Harbinger Medical,Health Care,Health Care,failed,,1993-01-01,crunchbase
Harmonia,Beauty|Healthcare Services|Marketplaces,Beauty|Healthcare Services|Marketplaces,failed,,2012-01-27,crunchbase
Hart InterCivic,Hardware + Software,Hardware + Software,failed,,,crunchbase
Hashable,Contact Management|Mobile|Networking,Contact Management|Mobile|Networking,failed,,2010-01-01,crunchbase
"Hashtaggy, Inc.",Mobile|Social Media,Mobile|Social Media,failed,,2015-05-15,crunchbase
HashTip,Curated Web|Mobile|Reviews and Recommendations|Social Commerce|Social Media,Curated Web|Mobile|Reviews and Recommendations|Social Commerce|Social Media,failed,,2012-03-12,crunchbase
Hazel Mail,Customer Service|Postal and Courier Services,Customer Service|Postal and Courier Services,failed,,,crunchbase
HazelMail,Curated Web,Curated Web,failed,,2012-01-01,crunchbase
Headliner,Entertainment|Events|Marketplaces,Entertainment|Events|Marketplaces,failed,,,crunchbase
Healogica,Clinical Trials|Curated Web,Clinical Trials|Curated Web,failed,,2007-10-30,crunchbase
Health Benefits Direct,Finance|FinTech,Finance|FinTech,failed,,2004-01-01,crunchbase
Health Impact Solutions,Health and Wellness,Health and Wellness,failed,,,crunchbase
Health Informatics,Health and Wellness,Health and Wellness,failed,,,crunchbase
HealthLok,Electronic Health Records|Health and Wellness|Health Care,Electronic Health Records|Health and Wellness|Health Care,failed,,2008-10-01,crunchbase
Healthrageous,Hardware + Software,Hardware + Software,failed,,2010-01-01,crunchbase
HealthRally,Social Media,Social Media,failed,,2010-03-01,crunchbase
Healthtone,Apps|Health and Wellness|Health Care,Apps|Health and Wellness|Health Care,failed,,2014-12-15,crunchbase
Healthvest Craig Ranch,Health Care|Medical|Pharmaceuticals,Health Care|Medical|Pharmaceuticals,failed,,,crunchbase
HealthyTweet,Curated Web|Health and Wellness|Health Care|Medical|Twitter Applications,Curated Web|Health and Wellness|Health Care|Medical|Twitter Applications,failed,,2009-02-10,crunchbase
Healvo,Delivery|Health Care|Medical,Delivery|Health Care|Medical,failed,,2015-09-11,crunchbase
Hearticus,Kids|Parenting|Services|Technology,Kids|Parenting|Services|Technology,failed,,2015-02-03,crunchbase
"Heartscape Technologies, Inc.",Healthcare Services|Medical Devices|Technology,Healthcare Services|Medical Devices|Technology,failed,,2005-11-01,crunchbase
Heekya,Facebook Applications|Photo Sharing|Semantic Search|Social Media|Video Streaming,Facebook Applications|Photo Sharing|Semantic Search|Social Media|Video Streaming,failed,,2008-05-08,crunchbase
"Helbiz, Inc.",E-Commerce Platforms|Employment|Online Rental|Peer-to-Peer|Shared Services,E-Commerce Platforms|Employment|Online Rental|Peer-to-Peer|Shared Services,failed,,2015-10-16,crunchbase
Heliae,Biotechnology,Biotechnology,failed,,2008-01-01,crunchbase
Helicomm,Web Hosting,Web Hosting,failed,,2002-01-01,crunchbase
Helios Health,Health Care,Health Care,failed,,,crunchbase
Heliotrope Technologies,Clean Technology|Energy Efficiency,Clean Technology|Energy Efficiency,failed,,2012-06-01,crunchbase
Helix Micro,Batteries|Manufacturing|Services,Batteries|Manufacturing|Services,failed,,,crunchbase
Helix Therapeutics,Biotechnology,Biotechnology,failed,,2006-01-01,crunchbase
HellHouse Media,Distribution|Entertainment|Film|Games|Internet|Media|Sales and Marketing|Video,Distribution|Entertainment|Film|Games|Internet|Media|Sales and Marketing|Video,failed,,2004-11-20,crunchbase
Hello Block,Design|Developer APIs|Open Source|Service Providers,Design|Developer APIs|Open Source|Service Providers,failed,,,crunchbase
Hello Real Estate,Business Services|Online Auctions|Proximity Internet|Real Estate,Business Services|Online Auctions|Proximity Internet|Real Estate,failed,,2011-07-01,crunchbase
hellocasa,Home & Garden|Services,Home & Garden|Services,failed,,2014-09-18,crunchbase
Help Me Rent Magazine,Home & Garden|Internet|News|Online Rental|Real Estate|Technology,Home & Garden|Internet|News|Online Rental|Real Estate|Technology,failed,,2010-01-01,crunchbase
HelpHive,Curated Web|Local|Reviews and Recommendations,Curated Web|Local|Reviews and Recommendations,failed,,2008-01-01,crunchbase
HelpMeRent.com,Home & Garden|Internet|Online Rental|Real Estate|Social Network Media,Home & Garden|Internet|Online Rental|Real Estate|Social Network Media,failed,,2010-10-01,crunchbase
"HelpSquad, LLC",Customer Service|Lead Generation,Customer Service|Lead Generation,failed,,2015-06-01,crunchbase
Hematris Wound Care,Biotechnology,Biotechnology,failed,,,crunchbase
Henri Miller,E-Commerce|Fashion,E-Commerce|Fashion,failed,,2015-05-01,crunchbase
Heritage Pharmaceuticals,Health Care|Pharmaceuticals|Supply Chain Management,Health Care|Pharmaceuticals|Supply Chain Management,failed,,2005-01-01,crunchbase
HeroicNet,Services|Web Hosting|Web Tools,Services|Web Hosting|Web Tools,failed,,2015-06-06,crunchbase
Hersha Hospitality Trust,Hospitality,Hospitality,failed,,1998-01-01,crunchbase
Heureka Software,Data Integration|Data Security|Software,Data Integration|Data Security|Software,failed,,2014-06-01,crunchbase
"Hey, Neighbor!",Collaborative Consumption|Curated Web|File Sharing|Local Based Services|Marketplaces|Networking|Peer-to-Peer,Collaborative Consumption|Curated Web|File Sharing|Local Based Services|Marketplaces|Networking|Peer-to-Peer,failed,,2010-01-01,crunchbase
Heybadges,Application Platforms|Business Services|Games,Application Platforms|Business Services|Games,failed,,2015-02-02,crunchbase
HiBeam Internet & Voice,Web Hosting,Web Hosting,failed,,,crunchbase
HiConversion.ru,Advertising,Advertising,failed,,,crunchbase
High Density Networks,Web Hosting,Web Hosting,failed,,,crunchbase
HighScore House,Games|Kids|Parenting,Games|Kids|Parenting,failed,,2011-01-01,crunchbase
hint,Curated Web,Curated Web,failed,,2010-01-01,crunchbase
HipClub,Online Travel,Online Travel,failed,,2010-04-01,crunchbase
Hippflow,Curated Web,Curated Web,failed,,,crunchbase
HipSnip,Curated Web|E-Commerce|Publishing|Reviews and Recommendations|Social Buying,Curated Web|E-Commerce|Publishing|Reviews and Recommendations|Social Buying,failed,,2010-03-01,crunchbase
Hiptype,Advertising|Analytics|Big Data|Publishing,Advertising|Analytics|Big Data|Publishing,failed,,,crunchbase
Hipui,Interface Design|Location Based Services|Mobile|User Experience Design,Interface Design|Location Based Services|Mobile|User Experience Design,failed,,2010-01-01,crunchbase
HireHive,Collaborative Consumption|Film Production|Marketplaces|Shared Services,Collaborative Consumption|Film Production|Marketplaces|Shared Services,failed,,2011-02-21,crunchbase
Hit Systems,Cloud Computing|Enterprise Software|Information Services|SaaS|Virtualization,Cloud Computing|Enterprise Software|Information Services|SaaS|Virtualization,failed,,2008-09-01,crunchbase
HiWiFi,Hardware + Software,Hardware + Software,failed,,2013-01-01,crunchbase
HizliYOL Technology,Consulting|Information Technology|Software,Consulting|Information Technology|Software,failed,,2010-06-12,crunchbase
HLA Data Systems,Health and Wellness|Health Care|Hospitals,Health and Wellness|Health Care|Hospitals,failed,,,crunchbase
HN Discounts Corporation,E-Commerce|Fashion,E-Commerce|Fashion,failed,,2011-10-01,crunchbase
Hochy eto,Hotels|Property Management|Real Estate,Hotels|Property Management|Real Estate,failed,,,crunchbase
HolidayGang.com,Active Lifestyle|Lifestyle|Social Media|Social Media Marketing|Travel|Travel & Tourism,Active Lifestyle|Lifestyle|Social Media|Social Media Marketing|Travel|Travel & Tourism,failed,,2013-09-01,crunchbase
Hollywood Interactive Group,Curated Web,Curated Web,failed,,,crunchbase
Holochip,3D|Electronics|Manufacturing,3D|Electronics|Manufacturing,failed,,,crunchbase
Homejoy,Hospitality,Hospitality,failed,,2012-07-01,crunchbase
HomeShop18,E-Commerce|Online Shopping|Retail,E-Commerce|Online Shopping|Retail,failed,,2008-04-09,crunchbase
Homest,Apps|Interior Design|Mobile,Apps|Interior Design|Mobile,failed,,2014-08-01,crunchbase
Honestly.com,Curated Web,Curated Web,failed,,,crunchbase
Honestly Now,Advice|Games|Internet|Mobile|Parenting|Social Games|Women,Advice|Games|Internet|Mobile|Parenting|Social Games|Women,failed,,2010-01-01,crunchbase
HopeLab,Health and Wellness|Nonprofits|Technology,Health and Wellness|Nonprofits|Technology,failed,,2001-01-01,crunchbase
Hopscot.ch,Messaging|Video Chat,Messaging|Video Chat,failed,,2010-12-09,crunchbase
Hopscotch,Apps|iPhone|Mobile,Apps|iPhone|Mobile,failed,,2010-01-01,crunchbase
hopscout,E-Commerce|Social Commerce,E-Commerce|Social Commerce,failed,,2011-04-01,crunchbase
Horam VR,Creative|Services|Virtual Worlds,Creative|Services|Virtual Worlds,failed,,2015-01-01,crunchbase
Hormiplast,Construction|Design,Construction|Design,failed,,,crunchbase
Horrance,Social Media,Social Media,failed,,2011-07-01,crunchbase
Hotalot,Journalism|News,Journalism|News,failed,,2008-11-21,crunchbase
HotClickVideo,E-Commerce|Marketplaces|Monetization|Software|Technology|Television,E-Commerce|Marketplaces|Monetization|Software|Technology|Television,failed,,2009-07-01,crunchbase
Hotelbar,Hospitality|Hotels|Service Providers,Hospitality|Hotels|Service Providers,failed,,,crunchbase
Hotelevision,Cable|Hotels|Television,Cable|Hotels|Television,failed,,,crunchbase
Hotelicopter,Curated Web|Hotels|Networking|Reviews and Recommendations|Search|Social Media|Software|Travel,Curated Web|Hotels|Networking|Reviews and Recommendations|Search|Social Media|Software|Travel,failed,,2006-06-01,crunchbase
Hotellauncher.com,Distribution|Hospitality|Hotels,Distribution|Hospitality|Hotels,failed,,2014-10-02,crunchbase
hotelsmap.com,Enterprise Software|Hotels|Maps|Travel,Enterprise Software|Hotels|Maps|Travel,failed,,2010-06-20,crunchbase
Hotlist,Colleges|Events|Facebook Applications|Private Social Networking|Social Media,Colleges|Events|Facebook Applications|Private Social Networking|Social Media,failed,,2008-01-01,crunchbase
Hotpathz Inc.,3D|3D Technology|Services,3D|3D Technology|Services,failed,,2015-06-01,crunchbase
Hotswap,Cars|E-Commerce,Cars|E-Commerce,failed,,,crunchbase
HourVille,Education|Entertainment|Games|Health and Wellness|Internet|Local|Local Search|Online Rental|Sales and Marketing|Search|Services|Teachers|Training|Tutoring,Education|Entertainment|Games|Health and Wellness|Internet|Local|Local Search|Online Rental|Sales and Marketing|Search|Services|Teachers|Training|Tutoring,failed,,2008-01-01,crunchbase
HouseFix,Communities|Curated Web|Home & Garden|Local|Local Businesses|Professional Services|Project Management,Communities|Curated Web|Home & Garden|Local|Local Businesses|Professional Services|Project Management,failed,,2010-06-01,crunchbase
Howdy,Information Technology|Operating Systems|SaaS,Information Technology|Operating Systems|SaaS,failed,,,crunchbase
Hoyos Corporation,Enterprise Software,Enterprise Software,failed,,2005-01-01,crunchbase
Hr.Pipapai,Cloud Computing|Cloud Infrastructure|Recruiting,Cloud Computing|Cloud Infrastructure|Recruiting,failed,,,crunchbase
HTP Solution,Logistics|Technology|Transportation,Logistics|Technology|Transportation,failed,,2001-01-01,crunchbase
hubbuzz.com,Curated Web,Curated Web,failed,,2007-03-01,crunchbase
Hubgets,Collaboration|SaaS,Collaboration|SaaS,failed,,2012-12-14,crunchbase
Hubkick,Productivity Software|Social Media|Software|Task Management,Productivity Software|Social Media|Software|Task Management,failed,,2011-01-01,crunchbase
"Hudooku, Inc.",Chat|Social Media|Social Network Media,Chat|Social Media|Social Network Media,failed,,2014-05-01,crunchbase
Hug Energy,Curated Web,Curated Web,failed,,2009-11-01,crunchbase
HuJe labs,Internet|Internet Marketing|Mobile|SEO|Software|Web Tools,Internet|Internet Marketing|Mobile|SEO|Software|Web Tools,failed,,2006-01-10,crunchbase
Hukkster,Curated Web|E-Commerce|Fashion|Retail,Curated Web|E-Commerce|Fashion|Retail,failed,,2012-04-01,crunchbase
Human Network Labs,Curated Web,Curated Web,failed,,2007-01-01,crunchbase
HungryBuddies.com,Delivery|Restaurants|Services,Delivery|Restaurants|Services,failed,,2013-10-01,crunchbase
Hurricane Party,Group Buying|Location Based Services|Mobile|Networking,Group Buying|Location Based Services|Mobile|Networking,failed,,2010-05-01,crunchbase
HX Diagnostics,Biotechnology|Health Diagnostics,Biotechnology|Health Diagnostics,failed,,2006-01-01,crunchbase
Hygeia Personal Care Products,Curated Web|Parenting,Curated Web|Parenting,failed,,2004-07-01,crunchbase
Hymite,Finance|FinTech,Finance|FinTech,failed,,,crunchbase
Hyperpublic,Analytics|Ediscovery|Local|Search,Analytics|Ediscovery|Local|Search,failed,,,crunchbase
Hyphen 8,Curated Web,Curated Web,failed,,,crunchbase
Hypios,Collaboration|Curated Web|EdTech|Education|Health and Wellness,Collaboration|Curated Web|EdTech|Education|Health and Wellness,failed,,2008-04-03,crunchbase
Hytle,Curated Web|Education|Software,Curated Web|Education|Software,failed,,2009-04-01,crunchbase
I Am Smart Technology,Hardware + Software,Hardware + Software,failed,,2008-01-14,crunchbase
I-frontdesk,Hotels|Resorts|Travel,Hotels|Resorts|Travel,failed,,2012-01-01,crunchbase
I Just Shared,Social Media,Social Media,failed,,2010-08-06,crunchbase
i-Nalysis,Hardware + Software,Hardware + Software,failed,,2008-01-01,crunchbase
I/O T-shirt,Services|Technology|Wearables,Services|Technology|Wearables,failed,,,crunchbase
I-Quest,Internet Service Providers|Networking|Wireless,Internet Service Providers|Networking|Wireless,failed,,,crunchbase
i2we,Social Media,Social Media,failed,,2007-01-01,crunchbase
ibabybox,Social Media,Social Media,failed,,2013-01-01,crunchbase
iBloks,Entertainment|Internet|Media|Personalization,Entertainment|Internet|Media|Personalization,failed,,,crunchbase
iBloom Technologies,Curated Web,Curated Web,failed,,2009-05-01,crunchbase
IBSN,Finance|Financial Services|Service Providers,Finance|Financial Services|Service Providers,failed,,,crunchbase
Ican,Application Platforms|Health and Wellness|Information Services,Application Platforms|Health and Wellness|Information Services,failed,,,crunchbase
Ichiba,E-Commerce|Marketplaces|Retail,E-Commerce|Marketplaces|Retail,failed,,,crunchbase
iClinix,Clinical Trials|Health Care|Pharmaceuticals,Clinical Trials|Health Care|Pharmaceuticals,failed,,2005-01-01,crunchbase
Icon Medical Corp.,Health Care|Medical|Medical Devices,Health Care|Medical|Medical Devices,failed,,,crunchbase
iconDial,Public Relations,Public Relations,failed,,2008-07-01,crunchbase
iConText,Ad Targeting|Advertising|Promotional,Ad Targeting|Advertising|Promotional,failed,,,crunchbase
iCredit,Small and Medium Businesses|Startups|Technology,Small and Medium Businesses|Startups|Technology,failed,,2015-01-01,crunchbase
IdeaOffer,Curated Web,Curated Web,failed,,2009-01-05,crunchbase
ididwork,Curated Web|Employment,Curated Web|Employment,failed,,2008-08-05,crunchbase
Idooble,Comparison Shopping|Curated Web|Search|Social Buying,Comparison Shopping|Curated Web|Search|Social Buying,failed,,2009-01-01,crunchbase
IDverge,Security|Startups|Technology,Security|Startups|Technology,failed,,2010-11-01,crunchbase
IDYIA Innovations,Web Hosting,Web Hosting,failed,,1972-01-01,crunchbase
IEC Technology Co,Public Relations,Public Relations,failed,,1999-01-01,crunchbase
Iencuentra,Application Platforms|Mobile|Web Development,Application Platforms|Mobile|Web Development,failed,,,crunchbase
iexerci.se,Exercise|Fitness|Health and Wellness,Exercise|Fitness|Health and Wellness,failed,,2009-01-01,crunchbase
IGA Worldwide,Advertising|Games,Advertising|Games,failed,,2005-01-01,crunchbase
Iggli,Social Media,Social Media,failed,,2007-01-01,crunchbase
iGlue,Search|Semantic Search|Semantic Web,Search|Semantic Search|Semantic Web,failed,,2007-08-25,crunchbase
Igneous Systems,Big Data|Storage|Technology,Big Data|Storage|Technology,failed,,,crunchbase
Ignios,Development Platforms|Intelligent Systems|Systems,Development Platforms|Intelligent Systems|Systems,failed,,,crunchbase
IgnitAd,Advertising,Advertising,failed,,,crunchbase
IHJ Media Group AB,Search|Web Development,Search|Web Development,failed,,2005-01-01,crunchbase
IIIMOBI,Advertising|Communities|Email|Mobility|Social Network Media|Web Design|Web Development|Web Tools,Advertising|Communities|Email|Mobility|Social Network Media|Web Design|Web Development|Web Tools,failed,,2009-05-01,crunchbase
iKoa,Semiconductors,Semiconductors,failed,,2006-01-01,crunchbase
Ikro,Automotive|Heavy Industry|Manufacturing,Automotive|Heavy Industry|Manufacturing,failed,,1947-01-01,crunchbase
Ikwa Orienta̤̣o Profissional,All Students|Social Network Media,All Students|Social Network Media,failed,,,crunchbase
Il Bisonte,Consumer Goods|Designers|Fashion,Consumer Goods|Designers|Fashion,failed,,1970-01-01,crunchbase
Illuminate Labs,Development Platforms|Game|Gamification,Development Platforms|Game|Gamification,failed,,,crunchbase
Illuminations,Consumer Goods|Service Providers,Consumer Goods|Service Providers,failed,,1996-01-01,crunchbase
Illumix Software,Business Intelligence|Software,Business Intelligence|Software,failed,,2008-04-01,crunchbase
PlayerTakesAll,Advertising,Advertising,failed,,2011-04-01,crunchbase
Imagiin.,Accounting|Advertising|Direct Marketing|SEO,Accounting|Advertising|Direct Marketing|SEO,failed,,2006-02-10,crunchbase
IMedExchange,Curated Web,Curated Web,failed,,2007-01-01,crunchbase
iMerit Technology,Information Technology|Mobile|SEO,Information Technology|Mobile|SEO,failed,,2012-01-01,crunchbase
Imindi,Curated Web|Semantic Web,Curated Web|Semantic Web,failed,,2008-09-01,crunchbase
Immuno Gum,Health Care|New Product Development|Services,Health Care|New Product Development|Services,failed,,2011-06-01,crunchbase
Immunomic Therapeutics,Biotechnology,Biotechnology,failed,,2005-01-01,crunchbase
ImpactMedia,Design|Media|Sales and Marketing,Design|Media|Sales and Marketing,failed,,,crunchbase
Impacto Tecnologias,Automated Kiosk|Document Management|Services,Automated Kiosk|Document Management|Services,failed,,,crunchbase
Impedans,Bioinformatics|Biotechnology|Health Care|Pharmaceuticals,Bioinformatics|Biotechnology|Health Care|Pharmaceuticals,failed,,,crunchbase
IMScouting,Curated Web|Sports,Curated Web|Sports,failed,,2008-03-10,crunchbase
Imubit,Internet of Things|IT and Cybersecurity|Security,Internet of Things|IT and Cybersecurity|Security,failed,,,crunchbase
Inaura,Cyber Security|IT and Cybersecurity|Online Identity,Cyber Security|IT and Cybersecurity|Online Identity,failed,,2007-01-01,crunchbase
InboxFever,Email|Finance|Messaging,Email|Finance|Messaging,failed,,2011-07-01,crunchbase
Incentivyze,Enterprise Software,Enterprise Software,failed,,2013-02-01,crunchbase
Inclinix,Biotechnology,Biotechnology,failed,,1999-01-01,crunchbase
incuBET,Development Platforms|Online Gaming|PC Gaming,Development Platforms|Online Gaming|PC Gaming,failed,,2011-01-01,crunchbase
IndiaEver.com,Classifieds|Music,Classifieds|Music,failed,,2012-08-01,crunchbase
Indicee,SaaS|Software,SaaS|Software,failed,,2006-01-01,crunchbase
Indigenous Global Development,Business Development|Private Corrections|Professional Services,Business Development|Private Corrections|Professional Services,failed,,,crunchbase
Industrykart.com,Industrial|Internet|Online Shopping,Industrial|Internet|Online Shopping,failed,,2015-01-01,crunchbase
IndyGeek,Media|News|Technology|Video Streaming,Media|News|Technology|Video Streaming,failed,,2009-10-30,crunchbase
iNEWiT,Hardware + Software,Hardware + Software,failed,,2005-01-01,crunchbase
Infima Technologies,Software|Web Hosting,Software|Web Hosting,failed,,2006-04-24,crunchbase
Infobionics,Social Media,Social Media,failed,,2000-01-01,crunchbase
Inform Technologies,Curated Web|Journalism|Media|Semantic Web,Curated Web|Journalism|Media|Semantic Web,failed,,2004-08-01,crunchbase
InGameNow,Curated Web,Curated Web,failed,,2008-03-01,crunchbase
Inhale Digital,Coupons|Facebook Applications|Flash Sales|Games|Gamification|Retail|Social Buying,Coupons|Facebook Applications|Flash Sales|Games|Gamification|Retail|Social Buying,failed,,2010-08-01,crunchbase
Inimex Pharmaceuticals,Biotechnology,Biotechnology,failed,,,crunchbase
Whodini,Enterprise Software|Natural Language Processing,Enterprise Software|Natural Language Processing,failed,,2010-09-01,crunchbase
InnerRewards,E-Commerce|Health and Wellness|Marketplaces|Networking|Social Media|Spas|Women,E-Commerce|Health and Wellness|Marketplaces|Networking|Social Media|Spas|Women,failed,,2008-04-01,crunchbase
Innervate,Communities|Gamification|Service Providers,Communities|Gamification|Service Providers,failed,,,crunchbase
INNFOCUS,Hardware + Software,Hardware + Software,failed,,,crunchbase
InnoDesk,Batteries|Services,Batteries|Services,failed,,,crunchbase
